distances,distance_mean,minor_events,ECEcore,ECEcore_mean,ECEcore_dx1,ECEcore_dx2,ZMAG,ZMAG_mean,LI,LI_mean,IPLA,fft_low,shot,label,window,IPLA_dx1,IPLA_dx2,IPLA_dx3,IPLA_ddx,IPLA_1,IPLA_2,IPLA_3,IPLA_4,IPLA_mean,time_window,Vloop_1,Vloop_2,Vloop_3,Vloop_4
"[-55949.5   -56429.25  -55946.625 -55895.875 -54528.875 -56453.25
 -55907.25  -57292.25  -55489.875 -56207.25  -55615.25  -58243.875
 -56495.    -56107.5   -58050.625]",-56307.48333333333,0.0,"[2793.4292 2793.4292 2822.793  2826.5696 2826.5696 2816.824  2822.0542
 2819.9182 2819.9182 2819.5156 2832.6528 2832.6528 2834.0823 2840.5461
 2840.192 ]",2822.743,6.463867,-0.35424805,"[0.34285125 0.34285125 0.34285125 0.34285125 0.34285125 0.34285125
 0.34285125 0.34285125 0.34285125 0.34285125 0.34285125 0.34285125
 0.34285125 0.34285125 0.34285125]",0.34285122,"[1.1506851 1.1506851 1.1506851 1.1506851 1.1506851 1.1506851 1.1506851
 1.1506851 1.1506851 1.1506851 1.1506851 1.1506851 1.1506851 1.1506851
 1.1506851]",1.1506851,"[1923504.9 1923025.1 1923507.8 1923558.5 1924925.5 1923580.8 1924126.8
 1922741.8 1924544.1 1923826.8 1924418.8 1922369.9 1924118.8 1924506.2
 1922563.1]",28855318.625,81206,0,1,1748.875,387.5,-1943.125,-2330.625,1922563.1,1924126.8,1922741.8,1923580.8,1923687.9,5.05,-1.0366607,-2.111309369405111,-1.613139033317566,-0.71743184
"[-49633.75  -48416.    -49854.875 -49120.875 -48214.125 -48501.
 -47263.    -47273.75  -47972.375 -44451.625 -46728.    -46479.5
 -46013.375 -45536.5   -48251.75 ]",-47580.7,0.0,"[1988.5135 1988.5135 1958.2732 1934.1543 1932.9564 1932.9564 1943.0322
 1950.6726 1950.6726 1951.2119 1952.4626 1958.4089 1958.4089 1972.5249
 1958.3857]",2389.0764,14.115967,-14.13916,"[0.35701787 0.35701787 0.35701787 0.35701787 0.35701787 0.35701787
 0.35701787 0.35701787 0.35701787 0.35701787 0.3517047  0.3517047
 0.3517047  0.3517047  0.3517047 ]",0.349049,"[1.2596462 1.2596462 1.2596462 1.2596462 1.2596462 1.2596462 1.2596462
 1.2596462 1.2596462 1.2596462 1.2420809 1.2420809 1.2420809 1.2420809
 1.2420809]",1.2022381,"[1949866.2 1951084.  1949645.1 1950379.1 1951285.9 1950999.  1952237.
 1952226.2 1951527.6 1955048.4 1952772.  1953020.5 1953486.6 1953963.5
 1951248.2]",29278789.5,81206,0,2,466.125,476.875,-2715.25,-3192.125,1951248.2,1952237.0,1952226.2,1950999.0,1951919.2,9.068,-3.6621363,-1.2864686648050945,-1.2238500118255615,-1.4725187
"[-10548.625 -10054.375  -9332.625  -9708.5    -9008.125 -10481.75
 -12490.5   -10090.     -9204.75   -9636.     -9566.375 -10156.
 -10085.875 -11247.75  -10880.375]",-10166.108333333334,0.0,"[1755.5732 1755.5732 1761.4111 1763.7251 1765.5693 1765.5693 1771.4424
 1771.2714 1771.2714 1768.1783 1779.2828 1775.0759 1775.0759 1786.4354
 1790.4489]",2182.8489,11.359497,4.0134277,"[0.3038803 0.3038803 0.3038803 0.3038803 0.3038803 0.3038803 0.3038803
 0.3038803 0.3038803 0.3038803 0.3038803 0.3038803 0.3038803 0.3038803
 0.3038803]",0.33399284,"[1.1914892 1.1914892 1.1914892 1.1914892 1.1914892 1.1914892 1.1914892
 1.1914892 1.1914892 1.1914892 1.1914892 1.1914892 1.1914892 1.1914892
 1.1914892]",1.1986552,"[1988951.4 1989445.6 1990167.4 1989791.5 1990491.9 1989018.2 1987009.5
 1989410.  1990295.2 1989864.  1989933.6 1989344.  1989414.1 1988252.2
 1988619.6]",29840008.375,81206,0,3,70.125,-1161.875,367.375,1529.25,1988619.6,1987009.5,1989410.0,1989018.2,1989334.0,10.366,-0.95668685,-0.5842533508936564,-1.0864776372909546,-0.40020186
"[-32341.375 -31181.    -32362.25  -30125.875 -31464.625 -31584.75
 -31091.375 -30489.125 -31142.5   -29126.75  -30645.    -30180.5
 -29685.625 -29928.625 -30228.25 ]",-30771.841666666667,0.0,"[1997.4032 2014.7891 2014.7891 2011.1189 2011.1189 1704.6432 1704.6432
 1720.5695 1720.5695 1728.2708 1728.2708 1745.2789 1745.2789 1761.6626
 1761.6626]",2093.3047,16.383667,0.0,"[0.25675666 0.25675666 0.25675666 0.25675666 0.25675666 0.25675666
 0.25675666 0.25675666 0.25675666 0.25675666 0.25675666 0.25675666
 0.25675666 0.25675666 0.25675666]",0.3146837,"[1.1473733 1.1473733 1.1473733 1.1473733 1.1473733 1.1473733 1.1473733
 1.1473733 1.1473733 1.1473733 1.1473733 1.1473733 1.1473733 1.1473733
 1.1473733]",1.185835,"[1967158.6 1968319.  1967137.8 1969374.1 1968035.4 1967915.2 1968408.6
 1969010.9 1968357.5 1970373.2 1968855.  1969319.5 1969814.4 1969571.4
 1969271.8]",29530922.375,81206,0,4,494.875,-243.0,-299.625,-56.625,1969271.8,1968408.6,1969010.9,1967915.2,1968728.4,23.504,-0.87737936,-0.74397873878479,-0.6961892247200012,-1.513505
"[63755.375  64306.0625 64517.     62751.75   64135.8125 64179.5625
 63364.1875 64820.     62171.4375 63291.9375 64993.5625 64500.
 64436.5625 67100.4375 64005.125 ]",64155.254166666666,0.0,"[1735.4664 1735.4664 1735.4664 1735.4664 1735.4664 1735.4664 1735.4664
 1735.4664 1735.4664 1735.4664 1735.4664 1735.4664 1735.4664 1735.4664
 1735.4664]",2021.737,0.0,0.0,"[0.19755636 0.19755636 0.19755636 0.19755636 0.19755636 0.19755636
 0.19755636 0.19755636 0.19755636 0.19755636 0.19755636 0.19755636
 0.19755636 0.19755636 0.19755636]",0.29125822,"[1.8340069 1.8340069 1.8340069 1.8340069 1.8340069 1.8340069 1.8340069
 1.8340069 1.8340069 1.8340069 1.8340069 1.8340069 1.8340069 1.8340069
 1.8340069]",1.3154693,"[625857.3  626408.   626618.94 624853.7  624224.06 624267.8  623452.44
 624908.25 622259.7  623380.2  623098.56 622605.   622541.56 625205.44
 622110.1 ]",9361791.0625,81206,0,5,-63.4375,2663.875,-3095.3125,-5759.1875,622110.1,623452.44,624908.25,624267.8,624119.3,31.816,1.8717213,1.500065008799235,0.5273277163505554,0.9956744
"[-34227.625 -34097.    -34163.125 -33412.    -33740.875 -33799.375
 -33290.    -33465.75  -33805.5   -34509.5   -32666.375 -33342.75
 -33703.    -34102.875 -33726.5  ]",-33736.816666666666,0.0,"[2565.751  2562.852  2580.0444 2576.481  2600.659  2600.659  2600.6958
 2585.8787 2580.3684 2598.1335 2607.6023 2613.188  2613.188  2601.1033
 2617.179 ]",2117.045,-12.084717,16.075684,"[0.32872912 0.32872912 0.32872912 0.32872912 0.32872912 0.32872912
 0.32872912 0.32872912 0.32872912 0.32872912 0.32872912 0.32872912
 0.32872912 0.32872912 0.32872912]",0.2975034,"[1.2191933 1.2191933 1.2191933 1.2191933 1.2191933 1.2191933 1.2191933
 1.2191933 1.2191933 1.2191933 1.2191933 1.2191933 1.2191933 1.2191933
 1.2191933]",1.2994232,"[1965272.4 1965403.  1965336.9 1966088.  1965759.1 1965700.6 1966210.
 1966034.2 1965694.5 1964990.5 1966833.6 1966157.2 1965797.  1965397.1
 1965773.5]",29486447.75,81207,0,6,-360.25,-399.875,376.375,776.25,1965773.5,1966210.0,1966034.2,1965700.6,1965763.2,6.082,-1.1946094,-1.2880231539408367,-0.9561039209365845,-1.5145043
"[-61029.25  -61019.    -60033.5   -58719.375 -62486.75  -59868.
 -61954.75  -62615.    -61614.5   -61556.75  -62376.375 -62688.875
 -63167.25  -62827.375 -62274.375]",-61615.40833333333,0.0,"[1880.1083 1878.466  1878.466  1890.7876 1890.8267 1887.3406 1889.6885
 1902.0685 1899.7142 1899.7142 1900.9694 1905.7041 1913.9381 1915.6648
 1919.8761]",2085.5942,1.7266846,4.2113037,"[0.37171385 0.37171385 0.37171385 0.37171385 0.37171385 0.37171385
 0.37171385 0.37171385 0.37171385 0.37171385 0.37171385 0.37171385
 0.37171385 0.37171385 0.37171385]",0.30810487,"[1.3314719 1.3314719 1.3314719 1.3314719 1.3314719 1.3314719 1.3314719
 1.3314719 1.3314719 1.3314719 1.3314719 1.3314719 1.3314719 1.3314719
 1.3314719]",1.3040017,"[1938470.8 1938481.  1939466.5 1940780.6 1937013.2 1939632.  1937545.2
 1936885.  1937885.5 1937943.2 1937123.6 1936811.1 1936332.8 1936672.6
 1937225.6]",29068268.875,81207,0,7,-478.375,339.875,553.0,213.125,1937225.6,1937545.2,1936885.0,1939632.0,1937884.6,8.717,-1.1559551,-0.7709698677062988,-1.1161346435546875,-0.6784444
"[-23706.75  -23949.125 -24533.625 -24264.875 -24343.625 -25137.125
 -24498.375 -24119.375 -23278.25  -24127.5   -24832.375 -23971.
 -24306.25  -24368.375 -24828.   ]",-24284.308333333334,0.0,"[1480.327  1474.9445 1482.6667 1480.2421 1483.573  1480.9403 1486.5162
 1475.7421 1482.929  1479.5262 1498.6644 1489.6874 1495.6184 1495.2109
 1499.3196]",2010.6108,-0.4074707,4.1086426,"[0.2596186 0.2596186 0.2596186 0.2596186 0.2596186 0.2596186 0.2596186
 0.2596186 0.2596186 0.2596186 0.2596186 0.2596186 0.2596186 0.2596186
 0.2596186]",0.3020441,"[1.133643 1.133643 1.133643 1.133643 1.133643 1.133643 1.133643 1.133643
 1.133643 1.133643 1.133643 1.133643 1.133643 1.133643 1.133643]",1.2827067,"[1975793.2 1975550.9 1974966.4 1975235.1 1975156.4 1974362.9 1975001.6
 1975380.6 1976221.8 1975372.5 1974667.6 1975529.  1975193.8 1975131.6
 1974672. ]",29628235.375,81207,0,8,-335.25,-62.125,-459.625,-397.5,1974672.0,1975001.6,1975380.6,1974362.9,1975215.6,13.79,-0.8377256,-0.7062126795450846,-1.1174671649932861,-1.5138382
"[-22391.125 -23066.875 -22531.625 -22887.625 -23274.875 -23355.75
 -21560.25  -24369.    -22355.875 -21810.375 -23269.5   -22904.625
 -21101.75  -24213.25  -22338.125]",-22762.041666666668,0.0,"[2054.9111 2051.976  2068.124  2066.0225 2065.7297 2085.1387 2088.3958
 2104.766  2103.3843 2054.1394 2053.4775 2118.0166 2116.7725 2001.8098
 2074.7883]",2017.6351,-114.96265,72.978516,"[0.26094964 0.26094964 0.26094964 0.26094964 0.26094964 0.26094964
 0.26094964 0.26094964 0.26094964 0.26094964 0.26094964 0.25944975
 0.25944975 0.25944975 0.25944975]",0.29743364,"[1.0921161 1.0921161 1.0921161 1.0921161 1.0921161 1.0921161 1.0921161
 1.0921161 1.0921161 1.0921161 1.0921161 1.0920255 1.0920255 1.0920255
 1.0920255]",1.2615274,"[1977108.9 1976433.1 1976968.4 1976612.4 1976225.1 1976144.2 1977939.8
 1975131.  1977144.1 1977689.6 1976230.5 1976595.4 1978398.2 1975286.8
 1977161.9]",29651069.375,81207,0,9,1802.875,-3111.5,1875.125,4986.625,1977161.9,1977939.8,1975131.0,1976144.2,1976738.0,18.78,-0.35788313,-0.9159227212270101,-0.8068193197250366,-0.8377256
"[-40907.25  -40649.625 -41266.5   -41639.75  -41867.875 -42687.875
 -39660.75  -42416.    -42506.375 -42147.25  -42337.5   -41659.
 -41889.    -41351.    -41694.625]",-41645.35833333333,0.0,"[1479.8729 1472.5369 1472.5369 1479.4314 1485.2208 1489.7948 1493.0817
 1487.5879 1493.1919 1495.6107 1505.1279 1502.531  1513.7935 1510.5818
 1509.2434]",1965.1392,-3.21167,-1.3383789,"[0.25074577 0.25074577 0.25074577 0.25074577 0.25074577 0.25074577
 0.25074577 0.25074577 0.25074577 0.25074577 0.25074577 0.25074577
 0.25074577 0.25074577 0.25074577]",0.29276484,"[1.1346436 1.1346436 1.1346436 1.1346436 1.1346436 1.1346436 1.1346436
 1.1346436 1.1346436 1.1346436 1.1346436 1.1346436 1.1346436 1.1346436
 1.1346436]",1.248839,"[1958592.8 1958850.4 1958233.5 1957860.2 1957632.1 1956812.1 1959839.2
 1957084.  1956993.6 1957352.8 1957162.5 1957841.  1957611.  1958149.
 1957805.4]",29367819.625,81207,0,10,-230.0,538.0,-343.625,-881.625,1957805.4,1959839.2,1957084.0,1956812.1,1957854.5,25.839,-1.1153018,-0.8490558465321859,-0.7944907546043396,-0.6764456
