distances,distance_mean,minor_events,instability_x_current,ECEcore,ECEcore_mean,ECEcore_dx1,ECEcore_dx2,ZMAG,ZMAG_mean,LI,LI_mean,IPLA,fft_low,shot,label,window,IPLA_dx1,IPLA_dx2,IPLA_dx3,IPLA_ddx,IPLA_1,IPLA_2,IPLA_3,IPLA_4,IPLA_mean,time_window,Vloop_1,Vloop_2,Vloop_3,Vloop_4
"[-63556.   -65922.   -62707.75 -64876.25 -65375.   -66460.   -66516.5
 -70217.75 -69339.25 -69318.75 -69413.5  -66319.   -65594.25 -68386.75
 -64217.5 ]",-66548.01666666666,0.0,0.0,"[341.26782 348.9171  347.62988 345.32578 351.382   343.996   348.00668
 349.1146  346.232   345.02158 341.50034 338.41513 342.6743  338.67267
 336.2723 ]",344.29523,-4.0016174,-2.40036,"[0.29111928 0.29111928 0.29111928 0.29111928 0.29111928 0.29111928
 0.29111928 0.29111928 0.29111928 0.29158157 0.29158157 0.29158157
 0.29158157 0.29158157 0.29158157]",0.2913042,"[1.030087  1.030087  1.030087  1.030087  1.030087  1.030087  1.030087
 1.030087  1.030087  1.0378256 1.0378256 1.0378256 1.0378256 1.0378256
 1.0378256]",1.0331824,"[2654269.8 2651903.8 2654202.5 2651164.2 2650665.5 2648665.  2648608.5
 2644907.2 2644870.2 2644890.8 2643926.  2646105.  2646829.8 2644037.2
 2647291. ]",39722336.5,94658,1,643,724.75,-2792.5,3253.75,6046.25,2647291.0,2648608.5,2644907.2,2648665.0,2648155.5,8.963,-1.6734525,-2.3365691502889,-2.2495977878570557,-0.9563537
"[-67878.5  -66728.25 -68887.   -67140.25 -69673.5  -66301.25 -65358.75
 -61304.   -60471.75 -45425.25  34729.5   38719.    43855.5   46787.
  51674.75]",-28226.85,1.0,2677056.0,"[338.64786 332.72354 330.45117 336.34695 333.59457 332.43134 331.84763
 326.18796 327.5156  324.03525 375.32138 321.78763 363.58167 397.20502
 415.98126]",345.8439,33.623352,18.776245,"[0.29158157 0.29158157 0.28965047 0.28965047 0.28965047 0.28965047
 0.28965047 0.28965047 0.28965047 0.28965047 0.28965047 0.28965047
 0.28965047 0.28965047 0.28965047]",0.28990793,"[1.0378256 1.0378256 1.0385356 1.0385356 1.0385356 1.0385356 1.0385356
 1.0385356 1.0385356 1.0385356 1.0385356 1.0385356 1.0385356 1.0385356
 1.0385356]",1.0384411,"[2640929.  2641209.5 2639050.8 2639882.  2636433.2 2639805.5 2640748.
 2643933.  2644765.2 2658896.2 2738135.2 2742124.8 2746391.5 2749323.
 2754210.8]",40155837.75,94658,1,644,4266.75,2931.5,4887.75,1956.25,2754210.8,2640748.0,2643933.0,2639805.5,2677056.0,8.984,15.704206,25.158002217610676,-0.8875426650047302,-2.3109107
"[-40096.5  -39810.5  -39222.75 -38818.5  -40716.   -38617.75 -40763.5
 -40486.75 -39622.   -39559.5  -38031.75 -39116.   -34875.25 -25825.
 -25315.5 ]",-37391.816666666666,0.0,0.0,"[1948.6906 1971.9586 1931.0237 1963.565  1923.5695 1977.9291 1959.0105
 1930.5063 1972.6534 1954.7476 1969.2705 1964.3306 1921.1832 1978.3694
 1991.3523]",1957.2107,57.186157,12.98291,"[0.25937352 0.25937352 0.25937352 0.25937352 0.25937352 0.25937352
 0.25937352 0.25937352 0.26042736 0.26042736 0.26042736 0.26042736
 0.26042736 0.26042736 0.26042736]",0.25986534,"[0.92512393 0.92512393 0.92512393 0.92512393 0.92512393 0.92512393
 0.92512393 0.92512393 0.92239    0.92239    0.92239    0.92239
 0.92239    0.92239    0.92239   ]",0.9238481,"[2460403.5 2460689.5 2461277.2 2461681.5 2459784.  2461882.2 2459736.5
 2460013.2 2460878.  2460940.5 2462468.2 2461384.  2465624.8 2474675.
 2475184.5]",36946622.75,95467,1,645,4240.75,9050.25,509.5,-8540.75,2475184.5,2459736.5,2460013.2,2461882.2,2463108.0,16.623,2.390218,0.7318712075551351,-0.934611439704895,-1.0746487
"[-39161.5  -39650.   -38942.25 -38003.5  -38186.   -40069.   -38749.25
 -38657.   -39699.25 -40363.75 -38611.5  -39794.   -39550.75 -38686.75
 -32284.  ]",-38693.9,1.0,2461805.8,"[1989.2759 2014.6466 2032.2137 1992.3872 2012.5013 1987.8573 2024.8578
 2001.754  2024.2153 1988.475  2028.7343 2017.649  2007.8846 2019.3444
 2007.9921]",2009.9858,11.459717,-11.352295,"[0.26175874 0.26175874 0.26175874 0.26175874 0.26370442 0.26370442
 0.26370442 0.26370442 0.26370442 0.26370442 0.26370442 0.26370442
 0.26370442 0.26370442 0.26370442]",0.26318553,"[0.92433447 0.92433447 0.92433447 0.92433447 0.92722285 0.92722285
 0.92722285 0.92722285 0.92722285 0.92722285 0.92722285 0.92722285
 0.92722285 0.92722285 0.92722285]",0.92645276,"[2461338.5 2460850.  2461557.8 2462496.5 2462314.  2460431.  2461750.8
 2461843.  2460800.8 2460136.2 2461888.5 2460706.  2460949.2 2461813.2
 2468216. ]",36927091.5,95467,1,646,243.25,864.0,6402.75,5538.75,2468216.0,2461750.8,2461843.0,2460431.0,2461805.8,16.655,3.425213,0.16116896271705627,-0.4364410936832428,-0.07964063
"[ -79075.75  -82677.75  -91981.75 -105647.   -107290.25 -123915.5
 -133872.75 -138688.25 -137740.   -133533.   -128845.   -139163.5
 -142487.25 -133881.   -130521.75]",-120621.36666666667,2.0,4759758.0,"[1777.7479 1760.821  1732.8644 1758.3596 1744.5677 1738.0106 1664.5531
 1746.2074 1634.5957 1419.1426 1715.7842 1727.061  1668.4053 1626.66
 1670.1396]",1692.3281,-41.74524,43.479614,"[0.2828916 0.2828916 0.2828916 0.2828916 0.2828916 0.2828916 0.2828916
 0.2828916 0.2828916 0.2828916 0.3196804 0.3196804 0.3196804 0.3196804
 0.3196804]",0.2951545,"[1.0225568 1.0225568 1.0225568 1.0225568 1.0225568 1.0225568 1.0225568
 1.0225568 1.0225568 1.0225568 1.142808  1.142808  1.142808  1.142808
 1.142808 ]",1.0626404,"[2421424.2 2417822.2 2408518.2 2394853.  2393209.8 2376584.5 2366627.2
 2361811.8 2362760.  2366967.  2371655.  2361336.5 2358012.8 2366619.
 2369978.2]",35698179.5,95467,1,647,-3323.75,8606.25,3359.25,-5247.0,2369978.2,2366627.2,2361811.8,2376584.5,2379879.0,16.704,-2.3825562,-4.179859797159831,-12.158365249633789,-3.9233894
"[-140774.   -144897.   -152493.   -158660.25 -160083.   -166128.
 -174478.75 -177856.5  -173348.   -162070.75 -156542.25 -154557.5
 -151294.75 -142577.5  -140273.  ]",-157068.95,3.0,7030293.0,"[1611.3762 1605.2098 1608.4462 1601.8546 1582.2164 1560.3031 1564.4026
 1532.8591 1463.0034 1449.1232 1395.3395 1319.6438 1272.1522 1233.703
 1193.0842]",1466.1813,-38.44922,-40.618774,"[0.3196804  0.3196804  0.3196804  0.3196804  0.32186228 0.32186228
 0.32186228 0.32186228 0.32186228 0.32186228 0.32186228 0.32186228
 0.32186228 0.32186228 0.32186228]",0.32128042,"[1.142808  1.142808  1.142808  1.142808  1.1968778 1.1968778 1.1968778
 1.1968778 1.1968778 1.1968778 1.1968778 1.1968778 1.1968778 1.1968778
 1.1968778]",1.1824591,"[2359726.  2355603.  2348007.  2341839.8 2340417.  2334372.  2326021.2
 2322643.5 2327152.  2338429.2 2343957.8 2345942.5 2349205.2 2357922.5
 2360227. ]",35151465.75,95467,1,648,3262.75,8717.25,2304.5,-6412.75,2360227.0,2326021.2,2322643.5,2334372.0,2343431.2,16.724,3.2449448,0.8209584554036459,-9.494729995727539,-6.726468
"[-158660.25 -160083.   -166128.   -174478.75 -177856.5  -173348.
 -162070.75 -156542.25 -154557.5  -151294.75 -142577.5  -140273.
 -141391.5  -143791.   -143146.5 ]",-156413.28333333333,4.0,9376346.0,"[1601.8546 1582.2164 1560.3031 1564.4026 1532.8591 1463.0034 1449.1232
 1395.3395 1319.6438 1272.1522 1233.703  1193.0842 1164.653  1155.443
 1145.9272]",1375.5806,-9.209961,-9.515747,"[0.3196804  0.32186228 0.32186228 0.32186228 0.32186228 0.32186228
 0.32186228 0.32186228 0.32186228 0.32186228 0.32186228 0.32186228
 0.32186228 0.32186228 0.32186228]",0.3217168,"[1.142808  1.1968778 1.1968778 1.1968778 1.1968778 1.1968778 1.1968778
 1.1968778 1.1968778 1.1968778 1.1968778 1.1968778 1.1968778 1.1968778
 1.1968778]",1.1932731,"[2341839.8 2340417.  2334372.  2326021.2 2322643.5 2327152.  2338429.2
 2343957.8 2345942.5 2349205.2 2357922.5 2360227.  2359108.5 2356709.
 2357353.5]",35161300.75,95467,1,649,-1118.5,-2399.5,644.5,3044.0,2357353.5,2338429.2,2343957.8,2327152.0,2344086.5,16.727,-0.02531737,1.8908322652180989,-2.6978647708892822,-7.8804245
"[-180672.75 -190159.   -187120.   -195416.5  -198069.25 -197242.75
 -201098.   -205979.5  -212437.75 -209903.75 -215896.75 -219958.75
 -221212.25 -223014.75 -223047.  ]",-205415.25,5.0,11475424.0,"[1002.313    990.5528   984.1146   982.90375  974.5951   973.8772
  963.869    940.8294   941.7686   933.52423  928.8909   948.9017
  921.8871   918.9194   923.63654]",955.37213,-2.9677124,4.717163,"[0.26698533 0.26698533 0.26698533 0.26698533 0.26698533 0.26698533
 0.26698533 0.26698533 0.26698533 0.26698533 0.26477695 0.26477695
 0.26477695 0.26477695 0.26477695]",0.2662492,"[1.2121682 1.2121682 1.2121682 1.2121682 1.2121682 1.2121682 1.2121682
 1.2121682 1.2121682 1.2121682 1.2694087 1.2694087 1.2694087 1.2694087
 1.2694087]",1.2312485,"[2319827.2 2310341.  2313380.  2305083.5 2302430.8 2303257.2 2299402.
 2294520.5 2288062.2 2290596.2 2284603.2 2280541.2 2279287.8 2277485.2
 2277453. ]",34426271.25,95467,1,650,-1253.5,-1802.5,-32.25,1770.25,2277453.0,2299402.0,2294520.5,2303257.2,2295084.8,16.759,-5.654151,-7.421350479125977,-5.798519134521484,-4.145976
"[-243086.   -243555.5  -245593.25 -250365.25 -252537.5  -254408.
 -255437.25 -257788.5  -261141.5  -261643.75 -260901.   -264982.25
 -258797.   -264723.5  -259800.  ]",-255650.68333333332,6.0,13469097.0,"[883.49335 864.0283  858.9573  874.23395 816.8848  821.47217 815.25104
 796.03625 819.6124  797.5061  765.6281  785.3051  807.1402  806.5586
 804.7615 ]",821.12463,-0.581604,-1.7971191,"[0.2572141  0.2572141  0.2572141  0.2572141  0.2572141  0.2572141
 0.2572141  0.24863225 0.24863225 0.24863225 0.24863225 0.24863225
 0.24863225 0.24863225 0.24863225]",0.2526371,"[1.3047168 1.3047168 1.3047168 1.3047168 1.3047168 1.3047168 1.3047168
 1.3403808 1.3403808 1.3403808 1.3403808 1.3403808 1.3403808 1.3403808
 1.3403808]",1.3237377,"[2257414.  2256944.5 2254906.8 2250134.8 2247962.5 2246092.  2245062.8
 2242711.5 2239358.5 2238856.2 2239599.  2235517.8 2241703.  2235776.5
 2240700. ]",33672739.75,95467,1,651,6185.25,-5926.5,4923.5,10850.0,2240700.0,2245062.8,2242711.5,2246092.0,2244849.0,16.79,-2.04033,-5.0382388432820635,-5.679474353790283,-3.2342732
"[-248041.75 -249432.75 -248231.75 -249643.5  -248854.75 -248017.5
 -247766.5  -251516.25 -249292.25 -251850.75 -252989.    -16731.
  -18339.    -18074.25  -13557.75]",-187489.25,7.0,15748916.0,"[707.5303  715.24786 726.43616 698.35016 721.22845 709.564   732.55457
 708.6292  703.5747  715.2113  708.71124 732.33453 715.50464 710.92236
 711.4786 ]",714.4853,-4.5822754,0.5562134,"[0.23715001 0.21888992 0.21888992 0.21888992 0.21888992 0.21888992
 0.21888992 0.21888992 0.21888992 0.21888992 0.21888992 0.21888992
 0.21888992 0.21888992 0.21888992]",0.22010727,"[1.3462111 1.3111607 1.3111607 1.3111607 1.3111607 1.3111607 1.3111607
 1.3111607 1.3111607 1.3111607 1.3111607 1.3111607 1.3111607 1.3111607
 1.3111607]",1.3134975,"[2252458.2 2251067.2 2252268.2 2250856.5 2251645.2 2252482.5 2252733.5
 2248983.8 2251207.8 2248649.2 2247511.  2247355.8 2245747.8 2245096.8
 2249613.2]",33747676.75,95467,1,652,-1608.0,-651.0,4516.5,5167.5,2249613.2,2252733.5,2248983.8,2252482.5,2249845.0,16.823,0.11862813,-2.2846970558166504,-1.2887439727783203,-0.76541376
