time,IPLA,IPref,ECEcore,SSXcore,LI,Q95,ZMAG,Vloop,IPE,Instability,Window
0.022,-53160.492,0.022460938,1141.5006,0.002288878,0.6617519,10.408838,0.020125447,-17.961126,-53160.516,0,1
0.023,-56066.082,0.022460938,1141.5006,0.0013733357,0.6617519,10.408838,0.020125447,-17.642231,-56066.105,0,1
0.024,-59827.996,0.022460938,1141.5006,0.00091555715,0.6617519,10.408838,0.020125447,-18.239368,-59828.02,0,1
0.025,-63139.01,0.022460938,1141.5006,0.0016785115,0.6617519,10.408838,0.020125447,-18.200048,-63139.035,0,1
0.026,-66272.71,0.022460938,1141.5006,0.0012207478,0.6617519,10.408838,0.020125447,-17.801512,-66272.734,0,1
0.027,-70835.195,0.022460938,1141.5006,0.0013733357,0.6617519,10.408838,0.020125447,-17.881485,-70835.22,0,1
0.028,-74004.32,0.022460938,1141.5006,0.0015259236,0.6617519,10.408838,0.020125447,-18.080753,-74004.34,0,1
0.029,-78444.56,0.022460938,1141.5006,0.0018310994,0.6617519,10.408838,0.020125447,-17.642231,-78444.586,0,1
0.03,-82366.96,0.022460938,1141.5006,0.0018310994,0.6617519,10.408838,0.020125447,-17.802177,-82366.984,0,1
0.031,-86177.86,0.022460938,1141.5006,0.0012207478,0.6617519,10.408838,0.020125447,-17.522936,-86177.88,0,1
0.032,-89761.03,0.022460938,1141.5006,0.0025940686,0.6617519,10.408838,0.020125447,-17.761524,-89761.055,0,1
0.033,-94350.37,0.022460938,1141.5006,0.0016785115,0.6617519,10.408838,0.020125447,-17.601244,-94350.39,0,1
0.034,-98626.21,0.022460938,1141.5006,0.00076296926,0.6617519,10.408838,0.020125447,-17.164055,-98626.234,0,1
0.035,-103834.875,0.022460938,1141.5006,0.0018311143,0.6617519,10.408838,0.020125447,-17.283016,-103834.9,0,1
0.036,-107471.38,0.022460938,1141.5006,0.0018311143,0.6617519,10.408838,0.020125447,-16.925465,-107471.41,0,1
0.037,-110165.0,0.022460938,1141.5006,0.001068145,0.6617519,10.408838,0.020125447,-17.999447,-110165.02,0,1
0.038,-114437.195,0.022460938,1141.5006,0.0016785115,0.6617519,10.408838,0.020125447,-17.602243,-114437.22,0,1
0.039,-117435.93,0.022460938,1141.5006,0.0027466565,0.6617519,10.408838,0.020125447,-17.124401,-117435.95,0,1
0.04,-121818.73,0.022460938,1141.5006,0.0015259236,0.6617519,10.408838,0.020125447,-17.640898,-121818.75,0,1
0.041,-126462.4,0.022460938,1141.5006,0.0018311143,0.6617519,10.408838,0.020125447,-17.400976,-126462.42,0,1
0.042,-131175.8,0.022460938,1141.5006,0.0027466565,0.6617519,10.408838,0.020125447,-17.321003,-131175.81,0,2
0.043,-132565.95,0.022460938,1141.5006,0.0016785115,0.6617519,10.408838,0.020125447,-17.480951,-132565.97,0,2
0.044,-136171.23,0.022460938,1141.5006,0.0013733357,0.6617519,10.408838,0.020125447,-16.845158,-136171.25,0,2
0.045,-139060.92,0.022460938,1141.5006,0.0022888929,0.6617519,10.408838,0.020125447,-17.519272,-139060.94,0,2
0.046,-142412.16,0.022460938,1141.5006,0.0016785115,0.6617519,10.408838,0.020125447,-17.080416,-142412.17,0,2
0.047,-146032.23,0.022460938,1141.5006,0.00091555715,0.6617519,10.408838,0.020125447,-17.438965,-146032.25,0,2
0.048,-148839.4,0.022460938,1141.5006,0.0019837022,0.6617519,10.408838,0.020125447,-17.240696,-148839.42,0,2
0.049,-152541.36,0.022460938,1141.5006,0.0018311143,0.6617519,10.408838,0.020125447,-16.883146,-152541.38,0,2
0.05,-157335.12,0.022460938,1141.5006,0.001068145,0.6617519,10.408838,0.020125447,-16.962788,-157335.14,0,2
0.051,-159659.92,0.022460938,1141.5006,0.0018310994,0.6617519,10.408838,0.020125447,-16.56525,-159659.94,0,2
0.052,-164832.62,0.022460938,1141.5006,0.00213629,0.6617519,10.408838,0.020125447,-16.405302,-164832.64,0,2
0.053,-169392.89,0.022460938,1141.5006,0.00076296926,0.6617519,10.408838,0.020125447,-16.325994,-169392.9,0,2
0.054,-172942.36,0.022460938,1141.5006,0.0016785115,0.6617519,10.408838,0.020125447,-15.728857,-172942.38,0,2
0.055,-177989.73,0.022460938,1141.5006,0.0028992444,0.6617519,10.408838,0.020125447,-15.409962,-177989.75,0,2
0.056,-180984.38,0.022460938,1141.5006,0.0016785115,0.6617519,10.408838,0.020125447,-15.768844,-180984.39,0,2
0.057,-184259.11,0.022460938,1141.5006,0.0030518472,0.6617519,10.408838,0.020125447,-15.769177,-184259.12,0,2
0.058,-189654.2,0.022460938,1141.5006,0.0024414808,0.6617519,10.408838,0.020125447,-15.648884,-189654.22,0,2
0.059,-192666.44,0.022460938,1141.5006,0.00213629,0.6617519,10.408838,0.020125447,-15.847485,-192666.45,0,2
0.06,-196508.4,0.022460938,1141.5006,0.0028992444,0.6617519,10.408838,0.020125447,-15.809497,-196508.42,0,2
